startdate,IPAddress,duration,responseID,LocationLatitude,LocationLongitude,Q2,Q3,Q1,Q4,Q5,Q6,Q7,Q8,Q9,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q10_1,Q10_2,Q10_3,Q10_4,Q14_14,Q10_13,Q10_12,Q10_5,Q10_7,Q10_6,Q10_8,Q10_9,Q10_10,Q10_11,Q14b_1,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q109,Q113,Q114,Q116,Q117,Q16_1,Q16_2,Q17,Q20#1_1_1,Q20#1_2_1,Q20#1_3_1,Q20#1_4_1,Q20#1_5_1,Q20#1_6_1,Q20#1_7_1,Q20#1_8_1,Q20#1_9_1,Q20#1_10_1,Q20#1_11_1,Q20#1_12_1,Q20#1_13_1,Q20#1_14_1,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_10,Q20#2_11,Q20#2_12,Q20#2_13,Q20#2_14,Q118,Q22#1_1_1,Q22#1_2_1,Q22#1_3_1,Q22#1_4_1,Q22#1_5_1,Q22#1_6_1,Q22#1_7_1,Q22#1_8_1,Q22#1_9_1,Q22#1_10_1,Q22#1_11_1,Q22#1_12_1,Q22#1_13_1,Q22#1_14_1,Q22#2_1,Q22#2_2,Q22#2_3,Q22#2_4,Q22#2_5,Q22#2_6,Q22#2_7,Q22#2_8,Q22#2_9,Q22#2_10,Q22#2_11,Q22#2_12,Q22#2_13,Q22#2_14,Q119,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q25,Q26,Attn check 1,Q28_2,Q28_3,Q30_1,Q30_2,Q31_1,Q31_2,Q32,Q33,Q34,Q103,Q104,Attn check 2,Q37,Q38,Q39,Q40,Q41,Q42,Q44,Q45,Q46,Q47,Q21_1,Q21_2,Q21_12,Q21_13,Q21_14,Q21_16,Q21_15,Q22_6,Q22_8,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q24 w attn check_6,Q102,Q48,Q49,Q50,Q51,Q52_1,Q52_2,Q101
1/2/24 16:02,108.145.164.21,481,R_5i2SPXJAajvH9Bn,40.9794,-81.5357,1,1,36,2,5,1,12,4,4,5,10,15,2,20,11,"1,2",5,5,5,5,"1,2",2,5,5,5,5,5,"1,2",2,,4,4,"1,2",4,4,4,4,,,1,,,,,,50,,,,,20,,,,,,,20,,3,,,,,3,,,,,,,3,,,40,,,,,15,5,,,,,,12,30,3,,,,,3,3,,,,,,3,3,,1,4,4,4,4,1,3,4,4,4,4,4,3,3,20,Local,3,30,32,56,70,89,74,1,1,8,8,,2,2,2,2,,2,1,4,2,5,4,6,3,3,5,5,3,5,5,3,3,3,5,3,7,3,"4,5,7",5,1,1,44096,2079,208,2
1/2/24 16:04,47.211.81.250,411,R_62lImXIG19VYKyk,31.2232,-92.3203,1,1,19,1,6,1,12,3,3,0,50,0,50,0,0,5,1,5,5,5,5,5,5,5,5,5,5,5,5,,4,4,1,4,4,4,4,,,,,,,,,,50,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,,3,50,37,61,76,57,66,5,1,8,6,,2,3,3,2,,2,2,4,2,3,4,5,5,5,4,4,5,5,5,5,5,5,5,5,7,5,"1,3,4",3,3,1,72360,1132,1172,2
1/2/24 16:01,35.131.28.66,693,R_7vrIQCXBgQkFX6F,39.4886,-119.7366,1,1,29,1,6,1,12,1,1,0,0,0,0,50,0,"1,2",2,5,5,5,"1,2",5,5,5,5,5,5,1,5,,4,4,"1,2",4,4,4,4,,,3,,,,,,5,,,,,0,,,,,,,10,,3,,,,,3,,,,,,,1,,,0,0,,,,10,,,,,,,,,3,3,,,,3,,,,,,,,,,2,1,4,1,4,1,4,4,4,4,4,4,1,4,15,,3,20,20,61,10,55,11,5,1,7,8,,2,1,1,2,,2,2,3,4,2,3,5,6,5,7,4,2,5,7,6,7,6,5,4,7,1,"4,5,7",3,1,1,89501,1776,1791,1
1/2/24 16:05,184.56.33.112,620,R_6QGkSFeYeRiskcK,41.5696,-81.2096,1,1,36,1,6,1,12,10,10,25,100,20,15,45,10,"1,2",5,5,5,5,"1,2",5,5,5,5,5,"1,2",5,5,,4,4,4,4,4,4,4,,,,,,,,,215,,,,,0,,,,,,0,,,2,,,,,3,,,,,,3,,,4,205,,,,,45,,,,,,0,,,2,,,,,1,,,,,,3,,,3,2,4,4,4,2,2,4,4,4,4,4,4,4,4,17,in town square,3,59,60,151,152,154,155,5,1,8,"1,3",,2,3,3,2,,2,2,1,2,1,4,5,5,6,6,5,3,5,5,5,5,3,5,5,7,5,"1,3,5",3,4,3,44024,2079,2107,1
1/2/24 16:02,98.20.176.117,1044,R_36e1vPe1lsTsXIt,30.182,-82.8445,1,1,10,2,5,1,12,2,2,50,200,80,50,150,40,"1,2",5,5,5,5,"1,2",5,"1,2",5,5,5,5,5,5,,4,4,4,2,"1,2",4,4,,3,,2,,,,,100,,,,,10,,10,,,,,,,3,,,,,3,,3,,,,,,,,60,,,,,10,,20,,,,,,,3,,,,,3,,3,,,,,,,,3,4,4,4,4,3,4,3,4,4,4,4,4,4,15,,3,101,78,240,177,240,188,5,1,8,"1,8",,2,1,1,1,1,1,1,4,2,4,2,2,1,1,7,6,1,1,3,6,3,4,3,5,7,1,"4,7",3,2,1,32694,330,331,1
1/2/24 16:10,100.7.44.235,581,R_6obX6K6uXoqg8hS,37.431,-77.6554,1,1,48,2,7,1,12,12,12,20,40,25,25,20,20,"1,2","1,2",5,5,2,5,5,"1,2",5,5,5,5,"1,2",5,,4,4,4,4,4,4,4,,,,,,,,,50,50,,,,,,50,,,,,20,,3,3,,,,,,3,,,,,3,,,50,50,,,20,,,30,,,,,20,,3,3,,,3,,,3,,,,,3,,,2,2,2,2,2,2,2,2,4,2,4,2,2,2,15,,3,41,41,67,67,65,64,5,1,8,1,,2,3,3,2,,2,2,4,2,2,4,5,3,5,5,4,3,6,5,4,5,5,4,3,7,3,"1,3,5",8,2,1,23113,2867,2370,2
1/2/24 16:09,98.21.14.66,707,R_3oyXvO60AWGKBmW,35.0599,-80.6976,1,1,34,1,6,1,12,3,3,8,20,5,5,0,11,"1,2","1,2",5,"1,2","1,2",5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,20,0,,0,20,,,,,,,,,,3,"2,3",,3,2,,,,,,,,,,1,30,20,,0,20,,,,,,,,,,2,2,,3,2,,,,,,,,,,1,3,3,3,3,3,3,3,4,4,4,4,3,3,3,15,,3,18,17,25,25,26,67,1,1,8,11,2,2,2,2,1,2,1,1,4,2,1,4,5,5,5,6,1,1,5,6,6,7,7,5,3,7,5,"1,4,5",3,1,1,28079,1924,185,1
1/2/24 16:09,172.58.181.210,731,R_7VdToz9tZ2Q4eIL,32.8261,-96.8345,1,1,45,2,6,1,12,8,8,20,40,10,25,0,0,"1,2","1,2",5,5,5,5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,40,60,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,1,1,1,4,4,4,4,4,4,4,4,4,4,4,15,,3,60,64,83,86,122,131,5,1,8,1,,2,3,3,2,,2,2,4,4,5,4,5,4,6,6,5,5,6,6,5,6,5,5,5,7,5,"5,6,7",5,3,1,76063,2567,2787,2
1/2/24 16:11,74.89.82.244,635,R_7hznbTNX1zCeOA8,41.1393,-73.7012,1,1,33,2,7,1,12,8,8,10,50,20,20,0,0,5,"1,2",5,5,5,5,"1,2",5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,,150,,,,,50,,,,,,,,,3,,,,,3,,,,,,,,,,145,,,,,35,,,,,,,,,3,,,,,3,,,,,,,,,4,2,4,4,4,4,2,4,4,4,4,4,4,4,15,,3,60,61,59,61,14,16,5,1,8,1,,2,3,3,2,,2,2,4,1,5,4,1,1,1,7,5,1,7,6,1,6,4,5,5,7,1,"4,5,7",8,1,1,10547,1861,1921,2
1/2/24 16:10,74.76.180.151,777,R_5GDKtp2AVUoh6Je,42.723,-73.8177,1,1,33,2,7,1,12,4,4,10,20,8,10,15,25,5,"1,2",5,5,"1,2",5,5,5,5,5,5,5,5,5,,4,4,4,4,4,4,4,,,,,,,,,,100,,,0,,,,,,,,,,,3,,,3,,,,,,,,,,,,100,,,0,,,,,,,,,,,2,,,3,,,,,,,,,,4,4,2,4,4,4,4,4,4,4,4,4,4,2,2,15,,3,30,30,30,30,90,30,4,1,8,1,,2,3,3,2,,2,2,1,1,1,4,1,1,5,6,1,4,6,7,4,7,4,4,6,7,4,"4,5,7",6,1,1,12205,1861,1862,2
