RecordedDate,Q51,Q1,Q4,Q52_1,Q52_2,IPAddress
11/14/23 10:26,72701,4,Female,Arkansas,Washington County,98.172.2.150
11/15/23 8:42,72703,4,Female,Arkansas,Washington County,70.178.197.136
11/15/23 13:26,72704,4,Male,Arkansas,Washington County,170.199.180.76
12/28/23 13:22,,5,Female,,,96.38.120.3
1/2/24 15:55,80045,6,Female,Colorado,Adams County,24.9.27.67
1/2/24 16:10,44096,36,Female,Ohio,Lake County,108.145.164.21
1/2/24 16:11,72360,19,Male,Louisiana,Rapides Parish,47.211.81.250
1/2/24 16:12,89501,29,Male,Nevada,Washoe County,35.131.28.66
1/2/24 16:15,44024,36,Male,Ohio,Geauga County,184.56.33.112
1/2/24 16:19,32694,10,Female,Florida,Alachua County,98.20.176.117
1/2/24 16:20,23113,48,Female,Virginia,Chesterfield County,100.7.44.235
1/2/24 16:21,28079,34,Male,North Carolina,Union County,98.21.14.66
1/2/24 16:21,76063,45,Female,Texas,Tarrant County,172.58.181.210
1/2/24 16:22,10547,33,Female,New York,Westchester County,74.89.82.244
1/2/24 16:23,12205,33,Female,New York,Albany County,74.76.180.151
1/2/24 16:23,,11,Male,,,67.191.128.132
1/2/24 16:24,66213,17,Female,Kansas,Johnson County,99.121.107.216
1/2/24 16:26,28364,34,Male,North Carolina,Robeson County,71.217.116.251
1/2/24 16:26,89460,29,Male,Nevada,Douglas County,24.205.206.55
1/2/24 16:26,33903,10,Female,Florida,Lee County,23.252.193.56
1/2/24 16:26,53579,51,Male,Wisconsin,Dodge County,75.129.150.183
1/2/24 16:27,84341,46,Male,Utah,Cache County,24.11.14.242
1/2/24 16:27,85622,3,Female,Arizona,Pima County,68.109.158.187
1/2/24 16:28,49441,23,Female,Michigan,Muskegon County,68.34.249.166
1/2/24 16:28,66209,17,Female,Kansas,Johnson County,76.218.38.205
1/2/24 16:29,10306,33,Male,New York,Richmond County,74.108.68.96
1/2/24 16:32,15656,39,Female,Pennsylvania,Armstrong County,174.238.107.22
1/2/24 16:32,6905,7,Female,Connecticut,Fairfield County,24.45.234.162
1/2/24 16:34,85635,3,Female,Arizona,Cochise County,166.194.147.1
1/2/24 16:35,78109,45,Female,Texas,Bexar County,76.186.1.179
1/2/24 16:36,33801,10,Female,Florida,Polk County,174.211.183.242
1/2/24 16:36,97080,38,Female,Oregon,Multnomah County,71.237.159.164
1/2/24 16:43,55407,24,Female,Minnesota,Hennepin County,172.56.12.197
1/2/24 16:47,7410,31,Female,New Jersey,Bergen County,24.191.214.210
