division,state,po_region,region,postal,state_num,CPI,adj_CPI
East North Central,Ohio,Midwest,Appalachia,OH,36,122.536,1.002626519
East South Central,Kentucky,South,Appalachia,KY,18,122.639,1.003469296
East South Central,Tennessee,South,Appalachia,TN,44,122.639,1.003469296
South Atlantic,West Virginia,South,Appalachia,WV,50,125.822,1.029513562
East South Central,Alabama,South,Delta,AL,1,122.639,1.003469296
East South Central,Mississippi,South,Delta,MS,25,122.639,1.003469296
West South Central,Louisiana,South,Delta,LA,19,122.215,1
West South Central,Arkansas,South,Delta,AR,4,122.215,1
East North Central,Illinois,Midwest,GL_Midwest,IL,14,122.536,1.002626519
East North Central,Indiana,Midwest,GL_Midwest,IN,15,122.536,1.002626519
East North Central,Michigan,Midwest,GL_Midwest,MI,23,122.536,1.002626519
East North Central,Wisconsin,Midwest,GL_Midwest,WI,51,122.536,1.002626519
West North Central,Iowa,Midwest,Heartland,IA,16,122.935,1.005891257
West North Central,Missouri,Midwest,Heartland,MO,26,122.935,1.005891257
West North Central,Kansas,Midwest,Heartland,KS,17,122.935,1.005891257
West North Central,Nebraska,Midwest,Heartland,NE,28,122.935,1.005891257
West South Central,Oklahoma,South,Heartland,OK,37,122.215,1
West North Central,North Dakota,Midwest,NorthCentral,ND,35,122.935,1.005891257
West North Central,Minnesota,Midwest,NorthCentral,MN,24,122.935,1.005891257
West North Central,South Dakota,Midwest,NorthCentral,SD,43,122.935,1.005891257
Middle Atlantic,Pennsylvania,Northeast,Northeast,PA,39,120.582,0.986638301
Middle Atlantic,New Jersey,Northeast,Northeast,NJ,31,120.582,0.986638301
Middle Atlantic,New York,Northeast,Northeast,NY,33,120.582,0.986638301
New England,Maine,Northeast,Northeast,ME,20,119.682,0.97927423
New England,Massachusetts,Northeast,Northeast,MA,22,119.682,0.97927423
New England,New Hampshire,Northeast,Northeast,NH,30,119.682,0.97927423
New England,Connecticut,Northeast,Northeast,CT,7,119.682,0.97927423
New England,Vermont,Northeast,Northeast,VT,47,119.682,0.97927423
New England,Rhode Island,Northeast,Northeast,RI,41,119.682,0.97927423
South Atlantic,District of Columbia,South,Northeast,DC,9,125.822,1.029513562
South Atlantic,Maryland,South,Northeast,MD,21,125.822,1.029513562
South Atlantic,Delaware,South,Northeast,DE,8,125.822,1.029513562
South Atlantic,Florida,South,Northeast,FL,10,125.822,1.029513562
South Atlantic,Georgia,South,Northeast,GA,11,125.822,1.029513562
South Atlantic,South Carolina,South,Northeast,SC,42,125.822,1.029513562
South Atlantic,North Carolina,South,Northeast,NC,34,125.822,1.029513562
Mountain,Montana,West,Northwest,MT,27,128.566,1.051965798
Mountain,Colorado,West,Northwest,CO,6,128.566,1.051965798
Mountain,Idaho,West,Northwest,ID,13,128.566,1.051965798
Mountain,Wyoming,West,Northwest,WY,52,128.566,1.051965798
Pacific,Oregon,West,Northwest,OR,38,123.761,1.012649838
Pacific,Washington,West,Northwest,WA,49,123.761,1.012649838
Pacific,Alaska,West,RemoteAreas,AK,2,123.761,1.012649838
Pacific,Hawaii,West,RemoteAreas,HI,12,123.761,1.012649838
West South Central,Texas,South,RioGrande,TX,45,122.215,1
Mountain,New Mexico,West,RioGrande,NM,32,128.566,1.051965798
South Atlantic,Virginia,South,Southeast,VA,48,125.822,1.029513562
Mountain,Arizona,West,Southwest,AZ,3,128.566,1.051965798
Mountain,Utah,West,Southwest,UT,46,128.566,1.051965798
Mountain,Nevada,West,Southwest,NV,29,128.566,1.051965798
Pacific,California,West,Southwest,CA,5,123.761,1.012649838
