"","ZCTA","zip_code","dense"
"1","10001",10123,46614.5065487019
"2","10001",10120,46614.5065487019
"3","10001",10001,46614.5065487019
"4","10001",10118,46614.5065487019
"5","10001",10122,46614.5065487019
"6","10002",10002,91837.6551321228
"7","10003",10003,94165.5309092127
"8","10004",10041,8505.75202786929
"9","10004",10045,8505.75202786929
"10","10004",10004,8505.75202786929
"11","10005",10270,126778.06528183
"12","10005",10005,126778.06528183
"13","10006",10006,46244.5101953541
"14","10007",10285,48794.4582659032
"15","10007",10007,48794.4582659032
"16","10007",10249,48794.4582659032
"17","10007",10043,48794.4582659032
"18","10007",10008,48794.4582659032
"19","10007",10212,48794.4582659032
"20","10007",10260,48794.4582659032
"21","10007",10242,48794.4582659032
"22","10007",10286,48794.4582659032
"23","10007",10256,48794.4582659032
"24","10007",10203,48794.4582659032
"25","10007",10081,48794.4582659032
"26","10007",10213,48794.4582659032
"27","10007",10080,48794.4582659032
"28","10007",10258,48794.4582659032
"29","10007",10259,48794.4582659032
"30","10007",10265,48794.4582659032
"31","10007",10273,48794.4582659032
"32","10009",10009,94598.9874834979
"33","10010",10010,86520.4444796123
"34","10011",10011,76200.8464310151
"35","10012",10012,67436.4403909235
"36","10013",10013,51830.6560435281
"37","10014",10014,61400.29231959
"38","10016",10016,98761.0191956455
"39","10016",10158,98761.0191956455
"40","10017",10178,50303.0778568108
"41","10017",10017,50303.0778568108
"42","10017",10176,50303.0778568108
"43","10018",10018,25474.510878629
"44","10019",10019,67198.7611367771
"45","10019",10106,67198.7611367771
"46","10019",10104,67198.7611367771
"47","10019",10107,67198.7611367771
"48","10019",10105,67198.7611367771
"49","10019",10151,67198.7611367771
"50","10020",10020,0
"51","10021",10021,110722.77619397
"52","10022",10155,77445.864019464
"53","10022",10022,77445.864019464
"54","10023",10023,69606.5472245161
"55","10024",10116,70694.091671313
"56","10024",10124,70694.091671313
"57","10024",10114,70694.091671313
"58","10024",10102,70694.091671313
"59","10024",10126,70694.091671313
"60","10024",10261,70694.091671313
"61","10024",10272,70694.091671313
